"Time&Date","$Flags$","mass0","mass1","mass2","mass3","mass4","mass5","mass6","mass7","mass8","mass9","mass10","mass11","mass12","mass13","mass14","mass15","mass16","mass17","mass18","mass19","mass20","mass21","mass22","mass23","mass24","mass25","mass26","mass27","mass28","mass29","mass30","mass31","mass32","mass33","mass34","mass35","mass36","mass37","mass38","mass39","mass40","mass41","mass42","mass43","mass44","mass45","mass46","mass47","mass48","mass49","mass50","mass51","mass52","mass53","mass54","mass55","mass56","mass57","mass58","mass59","mass60","mass61","mass62","mass63","mass64","mass65","mass66","mass67","mass68","mass69","mass70","mass71","mass72","mass73","mass74","mass75","mass76","mass77","mass78","mass79","mass80","mass81","mass82","mass83","mass84","mass85","mass86","mass87","mass88","mass89","mass90","mass91","mass92","mass93","mass94","mass95","mass96","mass97","mass98","mass99","mass100","mass101","mass102","mass103","mass104","mass105","mass106","mass107","mass108","mass109","mass110","mass111","mass112","mass113","mass114","mass115","mass116","mass117","mass118","mass119","mass120",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2018/08/22 13:51:18.69,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6768E-15,-5.6116E-16,1.0454E-14,2.4691E-15,2.165E-11,5.4393E-14,6.5518E-12,2.122E-12,9.3094E-12,1.2474E-14,1.0286E-12,3.8889E-15,1.7525E-14,4.899E-15,3.5353E-16,5.404E-15,1.8687E-15,6.2979E-14,5.7689E-10,4.2685E-12,1.5893E-13,1.3484E-14,1.3404E-10,1.1247E-13,5.6449E-13,-2.1717E-15,3.7727E-14,4.899E-15,1.2247E-14,-1.8939E-15,1.1722E-11,2.6515E-15,-2.1717E-15,-3.9141E-15,4.8671E-13,2.6515E-15,4.6717E-15,1.8687E-15,-8.8383E-16,1.3636E-15,-3.7878E-16,1.2626E-16,-1.3889E-15,-3.9141E-15,-2.904E-15,1.8687E-15,2.8788E-15,-1.8939E-15,1.2626E-16,-4.9242E-15,-1.6667E-15,-6.4394E-15,2.3737E-15,-5.9343E-15,-2.904E-15,-2.399E-15,3.5353E-16,-3.7878E-16,-1.3889E-15,-1.8939E-15,5.9091E-15,-8.8383E-16,-3.9141E-15,2.3737E-15,-1.6667E-15,-3.4091E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018/08/22 13:51:50.40,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6768E-15,8.7236E-16,1.0454E-14,-3.168E-15,2.1638E-11,6.4508E-14,6.5432E-12,2.064E-12,9.07E-12,1.4003E-14,1.0311E-12,3.8889E-15,9.9633E-15,4.899E-15,6.4279E-15,3.9027E-15,1.8687E-15,5.7438E-14,5.7671E-10,4.27E-12,1.6299E-13,1.6023E-14,1.3402E-10,1.1349E-13,5.6198E-13,-2.1717E-15,4.0266E-14,-1.6529E-15,4.9128E-15,-1.8939E-15,1.1722E-11,2.6515E-15,1.3774E-15,-3.9141E-15,4.8671E-13,5.4178E-15,-6.4278E-16,3.9027E-15,-8.8383E-16,1.3636E-15,-3.7878E-16,1.2626E-16,-1.3889E-15,-4.1781E-15,-2.904E-15,-2.1579E-15,-5.1882E-15,1.3774E-15,1.2626E-16,-4.9242E-15,-1.6667E-15,-6.4394E-15,-1.1478E-15,3.3976E-15,-2.904E-15,-2.399E-15,3.5353E-16,-3.7878E-16,-1.3889E-15,-2.1579E-15,5.9091E-15,3.3976E-15,1.1097E-13,1.6023E-14,-1.6667E-15,-3.4091E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018/08/22 13:52:16.34,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6146E-15,8.7236E-16,1.2547E-14,1.9409E-15,2.2205E-11,1.186E-13,6.7241E-12,3.1201E-12,1.3856E-11,1.7597E-14,1.0867E-12,3.8889E-15,1.6082E-14,1.3557E-14,8.0015E-15,8.0015E-15,8.6789E-14,1.0024E-12,5.9774E-10,5.1893E-12,1.9386E-13,2.3153E-14,1.3913E-10,1.2618E-13,5.9487E-13,-2.1717E-15,3.6789E-14,2.2648E-14,6.3052E-14,5.479E-13,1.2338E-11,1.4175E-12,2.3211E-12,3.5317E-12,6.3173E-13,1.3557E-14,-6.4278E-16,-7.9295E-17,-8.8383E-16,1.3636E-15,1.6587E-14,2.6183E-14,9.5167E-15,4.689E-14,1.3052E-14,2.479E-13,9.7395E-14,4.8628E-13,2.7193E-14,-4.9242E-15,-1.6667E-15,3.4561E-15,3.4561E-15,1.4359E-15,-2.904E-15,2.446E-15,1.9409E-15,1.5072E-14,7.4965E-15,6.9914E-15,6.5072E-14,3.3759E-14,5.0648E-13,2.3153E-14,-1.6667E-15,3.4561E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018/08/22 13:52:42.24,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6146E-15,8.7236E-16,1.2508E-14,4.9325E-15,2.218E-11,1.186E-13,6.7064E-12,3.4145E-12,1.5105E-11,1.5033E-14,1.1064E-12,1.9022E-15,1.1498E-14,7.9628E-15,1.2003E-14,1.1498E-14,7.2609E-14,8.0594E-13,5.9785E-10,5.0377E-12,1.8271E-13,2.5134E-14,1.3905E-10,1.2618E-13,5.9281E-13,1.9022E-15,3.9781E-14,2.5639E-14,4.5336E-14,4.3321E-13,1.2278E-11,1.0948E-12,1.7923E-12,2.6998E-12,6.0493E-13,8.4679E-15,-6.4278E-16,-7.9295E-17,6.9527E-15,1.3636E-15,1.5538E-14,2.6183E-14,6.9527E-15,4.2811E-14,1.0488E-14,2.0897E-13,7.8669E-14,3.7361E-13,2.0084E-14,1.3971E-15,-1.6667E-15,3.4561E-15,8.9209E-16,5.9426E-15,3.9224E-15,8.9209E-16,6.9527E-15,1.1498E-14,1.0993E-14,4.9325E-15,5.7962E-14,2.8669E-14,3.923E-13,2.0589E-14,-1.6667E-15,-1.1281E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018/08/22 13:53:08.16,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6146E-15,8.7236E-16,1.1141E-14,5.3551E-16,2.2213E-11,1.0609E-13,6.7081E-12,3.456E-12,1.5281E-11,1.7202E-14,1.1106E-12,8.6163E-15,1.6697E-14,7.9628E-15,6.0911E-15,6.5961E-15,6.3161E-14,6.4245E-13,5.9775E-10,4.9076E-12,1.7528E-13,2.0737E-14,1.3897E-10,1.2376E-13,5.8437E-13,5.3551E-16,4.1949E-14,1.4171E-14,4.5336E-14,3.4194E-13,1.2256E-11,8.4447E-13,1.3757E-12,2.0389E-12,5.7982E-13,8.4679E-15,-6.4278E-16,-7.9295E-17,5.586E-15,4.5759E-15,1.2151E-14,1.8717E-14,4.5759E-15,2.7808E-14,5.586E-15,1.7174E-13,6.0131E-14,2.8285E-13,1.6192E-14,-2.4948E-15,3.0608E-15,-1.9897E-15,3.0608E-15,4.5759E-15,1.0406E-15,2.0507E-15,2.5557E-15,1.5182E-14,5.586E-15,2.0507E-15,5.407E-14,1.9222E-14,2.9144E-13,1.6697E-14,-1.6667E-15,-1.1281E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018/08/22 13:53:34.08,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0843E-15,8.7236E-16,1.4077E-14,2.4611E-15,2.2252E-11,9.4885E-14,6.7196E-12,3.4842E-12,1.5438E-11,2.2158E-14,1.1106E-12,5.9965E-15,1.6697E-14,1.1552E-14,7.5116E-15,6.5961E-15,4.5895E-14,4.9892E-13,6.0092E-10,4.7994E-12,1.6761E-13,2.0737E-14,1.397E-10,1.267E-13,5.9135E-13,5.3551E-16,4.1949E-14,1.4171E-14,3.1754E-14,2.5751E-13,1.2308E-11,6.3427E-13,1.0327E-12,1.5241E-12,5.6054E-13,1.0541E-14,-6.4278E-16,-7.9295E-17,-3.0944E-15,-5.6918E-16,9.5318E-15,1.3572E-14,2.4611E-15,2.6703E-14,5.586E-15,1.4135E-13,4.842E-14,2.1508E-13,8.5217E-15,-2.4948E-15,9.4596E-16,-1.9897E-15,4.4813E-15,4.5759E-15,5.4914E-15,2.0507E-15,6.5015E-15,1.5182E-14,4.4813E-15,9.4596E-16,4.135E-14,1.7107E-14,2.1357E-13,1.1552E-14,-1.6667E-15,-1.1281E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018/08/22 13:53:59.94,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.287E-15,8.7236E-16,1.0915E-14,1.3191E-15,2.2208E-11,8.3642E-14,6.7114E-12,3.479E-12,1.5414E-11,1.95E-14,1.1106E-12,1.041E-14,1.445E-14,3.8444E-15,5.8646E-15,6.5961E-15,4.1218E-14,3.9374E-13,5.9934E-10,4.7134E-12,1.6394E-13,2.3036E-14,1.3927E-10,1.1697E-13,5.9135E-13,5.3551E-16,3.6672E-14,7.8848E-15,2.2531E-14,1.9778E-13,1.2263E-11,4.8061E-13,7.8515E-13,1.1321E-12,5.4374E-13,7.8848E-15,2.3292E-15,2.3292E-15,5.8646E-15,-5.6918E-16,9.5318E-15,9.905E-15,5.3595E-15,2.1016E-14,9.3999E-15,1.1344E-13,3.2632E-14,1.5687E-13,8.5217E-15,-2.4948E-15,9.4596E-16,-1.9897E-15,4.4813E-15,1.8242E-15,-1.7112E-15,3.8444E-15,4.8545E-15,3.8444E-15,8.1405E-16,7.3797E-15,4.135E-14,1.7107E-14,1.599E-13,7.8848E-15,3.8444E-15,-1.1281E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018/08/22 13:54:25.85,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.291E-15,2.3011E-15,8.3617E-15,4.3213E-15,2.2235E-11,7.6543E-14,6.7159E-12,3.4927E-12,1.544E-11,1.95E-14,1.1118E-12,2.8062E-15,1.6442E-14,9.8769E-15,7.3516E-15,7.8567E-15,3.2099E-14,3.0432E-13,5.9941E-10,4.6482E-12,1.6745E-13,1.8462E-14,1.3938E-10,1.225E-13,5.9422E-13,2.8062E-15,4.4725E-14,1.291E-15,2.2531E-14,1.5179E-13,1.2248E-11,3.5785E-13,5.8007E-13,8.3209E-13,5.3613E-13,1.0887E-14,2.8091E-16,-1.2342E-15,-1.7393E-15,-5.6918E-16,2.3011E-15,4.8264E-15,-1.2342E-15,1.3412E-14,5.3314E-15,8.8159E-14,2.7048E-14,1.1088E-13,1.1392E-14,1.291E-15,9.4596E-16,-1.9897E-15,-2.2413E-16,-2.2413E-16,-1.7112E-15,-1.2342E-15,-7.2918E-16,5.8365E-15,4.3213E-15,-1.7393E-15,2.7553E-14,1.3917E-14,1.1341E-13,7.8848E-15,1.291E-15,-1.1281E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018/08/22 13:54:58.79,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.168E-15,2.3011E-15,1.0953E-14,5.9028E-15,2.2257E-11,7.4589E-14,6.722E-12,3.4811E-12,1.5404E-11,1.7518E-14,1.1064E-12,5.3977E-15,1.1963E-14,6.9129E-15,7.3516E-15,5.3977E-15,2.2569E-14,2.3418E-13,5.9846E-10,4.5781E-12,1.6398E-13,1.3983E-14,1.3907E-10,1.2004E-13,5.9125E-13,3.472E-16,3.671E-14,6.9129E-15,2.2531E-14,1.0741E-13,1.2216E-11,2.4782E-13,4.0741E-13,5.6852E-13,5.2054E-13,1.0887E-14,2.8091E-16,-1.2342E-15,3.8826E-15,2.3674E-15,4.8927E-15,8.428E-15,-1.2342E-15,1.5498E-14,3.3775E-15,6.4488E-14,1.6508E-14,7.6609E-14,7.4179E-15,-1.5785E-16,9.4596E-16,-1.9897E-15,-2.2413E-16,4.8927E-15,-1.7112E-15,-1.2342E-15,-7.2918E-16,7.923E-15,1.8624E-15,-1.7393E-15,2.2569E-14,3.8826E-15,7.964E-14,-1.5785E-16,-1.168E-15,-1.1281E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2018/08/22 13:55:24.17,"",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.168E-15,-5.7598E-18,9.5902E-15,1.5094E-15,2.2251E-11,6.9691E-14,6.71E-12,3.4792E-12,1.5414E-11,1.464E-14,1.1064E-12,5.3977E-15,1.1963E-14,1.06E-14,8.5801E-15,5.3977E-15,2.4741E-14,1.9039E-13,5.98E-10,4.5403E-12,1.6009E-13,2.1206E-14,1.3893E-10,1.2171E-13,5.8585E-13,4.5397E-15,3.9893E-14,6.9129E-15,1.7671E-14,7.9287E-14,1.2192E-11,1.8736E-13,2.9847E-13,4.1464E-13,5.106E-13,7.57E-15,3.0245E-15,1.5094E-15,4.9928E-16,-4.0462E-15,-1.0159E-15,6.0548E-15,-1.2342E-15,9.0851E-15,-1.5209E-15,4.8984E-14,1.4135E-14,5.1509E-14,4.0346E-15,-1.5785E-16,9.4596E-16,-1.9897E-15,4.0346E-15,2.0144E-15,-1.7112E-15,-1.2342E-15,2.5195E-15,4.9928E-16,-1.5209E-15,-1.7393E-15,1.6155E-14,7.57E-15,5.3529E-14,3.0245E-15,1.5094E-15,-1.1281E-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
